Title,IF,Q,Publisher,Category,5IF,TITLE Short,Type,Issn_1,Issn_2,None,Country,Region,Coverage,Categories,Areas
Annual Review of Plant Biology,21.3,Q1,Annual Reviews Inc.,PLANT SCIENCES,28.2,ANNU REV PLANT BIOL,journal,15452123,15435008,1/265,United States,Northern America,1996-2023,Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Blood,21,Q1,Elsevier ,HEMATOLOGY,19.2,BLOOD,journal,15280020,64971,Feb-97,United States,Northern America,1946-2023,Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
Cell Host and Microbe,20.6,Q1,Cell Press,VIROLOGY,22.1,CELL HOST MICROBE,journal,19346069,19313128,Jan-41,United States,Northern America,2007-2023,Cancer Research (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
Nature Microbiology,20.5,Q1,Nature Publishing Group,MICROBIOLOGY,21,NAT MICROBIOL,journal,20585276,,5/161,United Kingdom,Western Europe,2016-2023,Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
Annals of the Rheumatic Diseases,20.3,Q1,BMJ Publishing Group,RHEUMATOLOGY,18.4,ANN RHEUM DIS,journal,34967,14682060,Feb-57,United Kingdom,Western Europe,"1945-1948, 1950-2023","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
Coordination Chemistry Reviews,20.3,Q1,Elsevier ,"CHEMISTRY, INORGANIC & NUCLEAR",19.9,COORDIN CHEM REV,journal,108545,,Jan-44,Netherlands,Western Europe,1966-2024,Inorganic Chemistry (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1),Chemistry; Materials Science
Cancer Communications,20.1,Q1,Wiley,ONCOLOGY,16.7,CANCER COMMUN,journal,25233548,,14/322,United Kingdom,Western Europe,2017-2023,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Cell Stem Cell,19.8,Q1,Cell Press,CELL BIOLOGY,22.6,CELL STEM CELL,journal,19345909,18759777,8/205,United States,Northern America,2007-2023,Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology"
Pharmacological Reviews,19.3,Q1,American Society for Pharmacology and Experimental Therapeutics,PHARMACOLOGY & PHARMACY,22.1,PHARMACOL REV,journal,15210081,316997,2/354,United States,Northern America,"1949, 1951-2023",Molecular Medicine (Q1); Pharmacology (Q1),"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
Chem,19.1,Q1,Elsevier ,"CHEMISTRY, MULTIDISCIPLINARY",23.8,CHEM-US,journal,24519308,24519294,8/230,United States,Northern America,2016-2023,Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Environmental Science; Materials Science; Medicine"
Clinical Microbiology Reviews,19,Q1,American Society for Microbiology,MICROBIOLOGY,33.8,CLIN MICROBIOL REV,journal,8938512,10986618,6/161,United States,Northern America,1988-2023,"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)",Immunology and Microbiology; Medicine
Nature Metabolism,18.9,Q1,Springer Nature,ENDOCRINOLOGY & METABOLISM,21,NAT METAB,journal,25225812,,5/186,Germany,Western Europe,2019-2023,"Cell Biology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Physiology (medical) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Bioactive Materials,18,Q1,KeAi Communications Co.,"MATERIALS SCIENCE, BIOMATERIALS",18.2,BIOACT MATER,journal,2452199X,,Jan-53,Netherlands,Western Europe,2016-2024,Biomaterials (Q1); Biomedical Engineering (Q1); Biotechnology (Q1),"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science"
Science immunology,17.6,Q1,American Association for the Advancement of Science,IMMUNOLOGY,19.1,SCI IMMUNOL,journal,24709468,,6/181,United States,Northern America,2016-2023,Immunology (Q1); Immunology and Allergy (Q1),Immunology and Microbiology; Medicine
Nature Cell Biology,17.3,Q1,Nature Publishing Group,CELL BIOLOGY,24.2,NAT CELL BIOL,journal,14764679,14657392,9/205,United Kingdom,Western Europe,1999-2023,Cell Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Molecular Plant,17.1,Q1,Cell Press,PLANT SCIENCES,21.4,MOL PLANT,journal,16742052,17529867,3/265,United States,Northern America,2008-2023,Molecular Biology (Q1); Plant Science (Q1),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Wiley Interdisciplinary Reviews: Computational Molecular Science,16.8,Q1,Wiley,MATHEMATICAL & COMPUTATIONAL BIOLOGY,20,WIRES COMPUT MOL SCI,journal,17590876,17590884,Jan-65,United States,Northern America,2011-2023,Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1),"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Materials Science; Mathematics"
Nucleic Acids Research,16.6,Q1,Oxford University Press,BIOCHEMISTRY & MOLECULAR BIOLOGY,16.1,NUCLEIC ACIDS RES,journal,3051048,13624962,6/313,United Kingdom,Western Europe,1974-2023,Genetics (Q1),"Biochemistry, Genetics and Molecular Biology"
Behavioral and Brain Sciences,16.6,Q1,Cambridge University Press,"PSYCHOLOGY, BIOLOGICAL",16.6,BEHAV BRAIN SCI,journal,14691825,0140525X,18-01-2024 00:00,United Kingdom,Western Europe,1978-2023,Behavioral Neuroscience (Q3); Neuropsychology and Physiological Psychology (Q3); Physiology (Q3),"Biochemistry, Genetics and Molecular Biology; Neuroscience; Psychology"
Circulation Research,16.5,Q1,Lippincott Williams and Wilkins Ltd.,PERIPHERAL VASCULAR DISEASE,20.3,CIRC RES,journal,97330,15244571,Feb-96,United States,Northern America,1953-2023,Cardiology and Cardiovascular Medicine (Q1); Physiology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Neuro-Oncology,16.4,Q1,Oxford University Press,ONCOLOGY,14.9,NEURO-ONCOLOGY,journal,15228517,15235866,15/322,United Kingdom,Western Europe,1999-2023,Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Advances in Colloid and Interface Science,15.9,Q1,Elsevier ,"CHEMISTRY, PHYSICAL",16.4,ADV COLLOID INTERFAC,journal,18686,,13/178,Netherlands,Western Europe,"1967-1972, 1974-2023",Colloid and Surface Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Surfaces and Interfaces (Q1),Chemical Engineering; Chemistry; Physics and Astronomy
Drug Resistance Updates,15.8,Q1,Churchill Livingstone,PHARMACOLOGY & PHARMACY,18.1,DRUG RESIST UPDATE,journal,13687646,15322084,3/354,United States,Northern America,1998-2023,Cancer Research (Q1); Infectious Diseases (Q1); Oncology (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Annual Review of Physiology,15.7,Q1,Annual Reviews Inc.,PHYSIOLOGY,22.9,ANNU REV PHYSIOL,journal,664278,15451585,Feb-85,United States,Northern America,1946-2023,Physiology (Q1),"Biochemistry, Genetics and Molecular Biology"
Journal of Extracellular Vesicles,15.5,Q1,Wiley,CELL BIOLOGY,19.6,J EXTRACELL VESICLES,journal,20013078,,12/205,United States,Northern America,2012-2023,Cell Biology (Q1); Histology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Advanced Drug Delivery Reviews,15.2,Q1,Elsevier ,PHARMACOLOGY & PHARMACY,17.6,ADV DRUG DELIVER REV,journal,0169409X,18728294,4/354,Netherlands,Western Europe,1987-2023,Pharmaceutical Science (Q1),"Pharmacology, Toxicology and Pharmaceutics"
Annual Review of Medicine,15.1,Q1,Annual Reviews Inc.,"MEDICINE, RESEARCH & EXPERIMENTAL",14.4,ANNU REV MED,journal,1545326X,664219,3/189,United States,Northern America,"1950-1958, 1960-2023","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Trends in Food Science and Technology,15.1,Q1,Elsevier ,FOOD SCIENCE & TECHNOLOGY,16.4,TRENDS FOOD SCI TECH,journal,9242244,,2/173,United Kingdom,Western Europe,1990-2023,Biotechnology (Q1); Food Science (Q1),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
"Lancet Rheumatology, The",15,Q1,Elsevier ,RHEUMATOLOGY,14.7,LANCET RHEUMATOL,journal,26659913,,Mar-57,United Kingdom,Western Europe,2019-2023,Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1),Immunology and Microbiology; Medicine
Molecular Neurodegeneration,14.9,Q1,BioMed Central Ltd,NEUROSCIENCES,16.7,MOL NEURODEGENER,journal,17501326,,8/310,United Kingdom,Western Europe,2006-2023,Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
Nature Communications,14.7,Q1,Nature Publishing Group,MULTIDISCIPLINARY SCIENCES,16.1,NAT COMMUN,journal,20411723,,8/134,United Kingdom,Western Europe,2010-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
Acta Pharmaceutica Sinica B,14.7,Q1,Chinese Academy of Medical Sciences,PHARMACOLOGY & PHARMACY,14.1,ACTA PHARM SIN B,journal,22113843,22113835,5/354,China,Asiatic Region,"2012, 2014-2023","Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)","Pharmacology, Toxicology and Pharmaceutics"
Autophagy,14.6,Q1,Landes Bioscience,CELL BIOLOGY,16.8,AUTOPHAGY,journal,15548627,,13/205,United States,Northern America,2005-2023,Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Molecular Cell,14.5,Q1,Cell Press,CELL BIOLOGY,16.6,MOL CELL,journal,10974164,10972765,14/205,United States,Northern America,1997-2023,Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Journal of the American Chemical Society,14.4,Q1,American Chemical Society,"CHEMISTRY, MULTIDISCIPLINARY",14.8,J AM CHEM SOC,journal,15205126,27863,17/230,United States,Northern America,1879-2023,Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry"
Biofuel Research Journal,14.4,Q1,Alpha Creation Enterprise,ENERGY & FUELS,10,BIOFUEL RES J,journal,22928782,,11/170,Malaysia,Asiatic Region,2014-2023,"Biotechnology (Q1); Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Environmental Engineering (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Energy; Environmental Science"
Trends in Cancer,14.3,Q1,Cell Press,ONCOLOGY,17.1,TRENDS CANCER,journal,24058033,24058025,17/322,United States,Northern America,2015-2023,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Medicinal Research Reviews,10.9,Q1,Wiley,PHARMACOLOGY & PHARMACY,12.9,MED RES REV,journal,1986325,10981128,10/354,United States,Northern America,1981-2023,Drug Discovery (Q1); Molecular Medicine (Q1); Pharmacology (Q1),"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
Bone Research,14.3,Q1,Nature Publishing Group,CELL & TISSUE ENGINEERING,14.8,BONE RES,journal,20954700,20956231,Feb-31,United Kingdom,Western Europe,2013-2023,"Endocrinology, Diabetes and Metabolism (Q1); Histology (Q1); Physiology (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Trends in Biotechnology,14.3,Q1,Elsevier ,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,16.8,TRENDS BIOTECHNOL,journal,1677799,18793096,3/174,United Kingdom,Western Europe,1983-2023,Bioengineering (Q1); Biotechnology (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
Progress in Lipid Research,14,Q1,Elsevier ,NUTRITION & DIETETICS,15.7,PROG LIPID RES,journal,18732194,1637827,1/114,United Kingdom,Western Europe,1978-2023,Biochemistry (Q1); Cell Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Trends in Microbiology,14,Q1,Elsevier ,MICROBIOLOGY,17,TRENDS MICROBIOL,journal,18784380,0966842X,7/161,United Kingdom,Western Europe,1993-2023,Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Virology (Q1),Immunology and Microbiology; Medicine
Clinical and Molecular Hepatology,14,Q1,Korean Association for the Study of the Liver,GASTROENTEROLOGY & HEPATOLOGY,9.6,CLIN MOL HEPATOL,journal,22872728,2287285X,6/143,South Korea,Asiatic Region,2012-2023,Hepatology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Trends in Pharmacological Sciences,13.9,Q1,Elsevier ,PHARMACOLOGY & PHARMACY,14.3,TRENDS PHARMACOL SCI,journal,18733735,1656147,6/354,United Kingdom,Western Europe,1979-2023,Pharmacology (Q1); Toxicology (Q1),"Pharmacology, Toxicology and Pharmaceutics"
Microbiome,13.8,Q1,BioMed Central Ltd,MICROBIOLOGY,17.9,MICROBIOME,journal,20492618,,8/161,United Kingdom,Western Europe,2013-2023,Microbiology (Q1); Microbiology (medical) (Q1),Immunology and Microbiology; Medicine
Cell Death and Differentiation,13.7,Q1,Nature Publishing Group,CELL BIOLOGY,13.7,CELL DEATH DIFFER,journal,13509047,14765403,15/205,United Kingdom,Western Europe,1994-2023,Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Protein and Cell,13.6,Q1,Oxford University Press,CELL BIOLOGY,17.7,PROTEIN CELL,journal,16748018,1674800X,16/205,United Kingdom,Western Europe,2010-2023,Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Trends in Genetics,13.6,Q1,Elsevier ,GENETICS & HEREDITY,11.9,TRENDS GENET,journal,1689525,13624555,4/191,United Kingdom,Western Europe,1985-2023,Genetics (Q1),"Biochemistry, Genetics and Molecular Biology"
Nano Today,13.2,Q1,Elsevier ,NANOSCIENCE & NANOTECHNOLOGY,14.6,NANO TODAY,journal,1878044X,17480132,15/140,Netherlands,Western Europe,"1970, 2006-2023",Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Nature Protocols,13.1,Q1,Nature Publishing Group,BIOCHEMICAL RESEARCH METHODS,17.4,NAT PROTOC,journal,17542189,,Feb-85,United Kingdom,Western Europe,2006-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology"
Trends in Immunology,13.1,Q1,Elsevier ,IMMUNOLOGY,16,TRENDS IMMUNOL,journal,14714906,14714981,7/181,United Kingdom,Western Europe,"1987-1990, 1993-1994, 2001-2023",Immunology (Q1); Immunology and Allergy (Q1),Immunology and Microbiology; Medicine
Cell Discovery,13,Q1,Nature Publishing Group,CELL BIOLOGY,14.8,CELL DISCOV,journal,20565968,,17/205,United Kingdom,Western Europe,2015-2023,Biochemistry (Q1); Cell Biology (Q1); Genetics (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Clinical and Translational Medicine,7.9,Q1,Wiley,ONCOLOGY,8,CLIN TRANSL MED,journal,20011326,,36/322,United States,Northern America,"2016, 2019-2022",Medicine (miscellaneous) (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Trends in Cell Biology,13,Q1,Elsevier ,CELL BIOLOGY,19.5,TRENDS CELL BIOL,journal,9628924,18793088,17/205,United Kingdom,Western Europe,1991-2023,Cell Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Nature Chemical Biology,12.9,Q1,Nature Publishing Group,BIOCHEMISTRY & MOLECULAR BIOLOGY,14.7,NAT CHEM BIOL,journal,15524469,15524450,11/313,United Kingdom,Western Europe,2005-2023,Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Leukemia,12.8,Q1,Nature Publishing Group,ONCOLOGY,10.5,LEUKEMIA,journal,8876924,14765551,19/322,United Kingdom,Western Europe,1987-2023,Anesthesiology and Pain Medicine (Q1); Cancer Research (Q1); Hematology (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Trends in Molecular Medicine,12.8,Q1,Elsevier ,"MEDICINE, RESEARCH & EXPERIMENTAL",13.7,TRENDS MOL MED,journal,1471499X,14714914,5/189,United Kingdom,Western Europe,2000-2023,Molecular Biology (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology"
Biomaterials,12.8,Q1,Elsevier ,"MATERIALS SCIENCE, BIOMATERIALS",13.1,BIOMATERIALS,journal,1429612,18785905,Feb-53,United Kingdom,Western Europe,1980-2023,Bioengineering (Q1); Biomaterials (Q1); Biophysics (Q1); Ceramics and Composites (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science"
